ID,UCID,Name,Website,Description,Geographical extent,"Geographic coverage
Country","Geographic coverage 
NUTS 2021","Responsible
Organization","Responsible 
Organization 
Category","Functions of Government 
(COFOG level I)","Functions of Government 
(COFOG level II)",Status,Start Year,End Year,AI Classification (I),"AI Classification 
Subdomain (II)
(Main)","AI Classification 
Subdomain (II)
(Other I)","AI Classification 
Subdomain (II)
(Other II)","AI Classification 
Subdomain (II)
(Other III)",AI Keywords (III),Critical,Process Type,Application Type,Technology,CrossSector,CrossBorder,Uptake,Interaction,Data Scope 1,Data Scope 2,OSS,interOp I,"IoP Level 1
 Technical","IoP Level 2
Semantical","IoP Level 3
Legal","IoP Level 4
Organisational",EIF Principle 1,EIF Principle 2,AI Action 1,AI Action 2,Improved Public Service,Personalized Services,Public (citizen)-centered services,Increase quality of PSI and services,"More responsive, efficient, and cost-effective public services",New services or channels,Improved Administration,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminate the risk of corruption and abuse of the law by public servants,"Enabled greater fairness, honesty, equality",Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source,Date-added,Date-updated
913,AIWT6-913,AI for Ethically Responsible Big Open Data (ETAPAS Case 1),https://www.etapasproject.eu/usecases/post-1/,"Identification of possible ethical issues/risks and impacts and propose mitigation actions and recommendations in relation to the big data analysis and publication procedure of anonymized open datasets in line with the legal framework, including the GDPR. The target data are from the NoiPA system that provides HR shared services to around 100 Italian central and local public administrations through the NoiPA digital platform, used by 2.2 mln civil servants.
The NoiPA platform [NoiPA] a series of open datasets that are created through additional elaboration and analysis of data stored in the platform that collects, enhances, and analyses data from NoiPA. The published data covers:
-Administered personnel and Administrations (methods of salaries crediting, bodies organizational structures)
-Working relationship (personnel classification, contracts, reasons for hiring of work relationships, etc) 
-Economic treatment (deduction detail per dependent family member, tax deductions, family allowances, etc). The sensitivity of the data exposed on the platform requires high standards of privacy protection. AI could enable, notably through the combination of information from different datasets, the (re)identification of personal information even in anonymized and aggregated datasets. Dataset can hide biased or discriminatory characteristics arising from, for instance, erroneous sampling, variables capturing sensitive background characteristics and the use of proxies. ",Across Countries,Italy,IT,Ministero Economia e Finanze,Central-Government,Economic affairs,"General economic, commercial and labour affair",Pilot,2022,,Learning,Machine learning,Knowledge representation,,,,,Public services and engagement,Data Sharing Management,Artificial Intelligence,Yes,Yes,,G2G,Dynamic Data,Historical Data,,AI4IOP,No,Yes,Yes,Yes,Inclusion and accessibility,Transparency,Decision Support,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,x,x,,x,x,,,Open government capabilities,x,,,https://www.etapasproject.eu/usecases/post-1/,05/05/2022,
929,AIWT6-929,EUIPO  eSearch Plus,https://euipo.europa.eu/ohimportal/en/new-image-search,"Proper trade mark clearance is the key to a successful application. With eSearch plus, it is possible search for, or monitor, images combined with criteria like the Vienna and Nice Classifications.  this new feature of eSearch plus we are following the practice of modern IT companies and launching a beta version. This way we can receive your feedback and make the required changes in real-time",Across Countries,Spain,ES,EUIPO,Central-Government,Economic affairs,Communication,Implemented,2022,,Learning,Searching,Natural language processing,Computer vision,Machine learning,,,Enforcement,Predictive enforcement processes,Artificial Intelligence,Yes,Yes,Yes,G2B,Dynamic Data,Historical Data,,AI4IOP,No,Yes,Yes,No,Administrative simplification,Preservation of information,Extraction?,"Conversation
Support? interaction",Improved Public Service,,,x,x,,Improved Administration Efficency,Improved Administrative Efficiency,x,,x,,,,,Open government capabilities,x,,,https://euipo.europa.eu/ohimportal/en/web/guest/news/-/action/view/9253518,06/07/2022,
70017,IPSO-70017,"ProZorro, Bid prediction",https://ocdsanalytics.com/ua/prozorro/ai/docs/,The ProZorro team is using Artificial Intelligence and machine learning in its work with the aim of developing a model that would predict the likelihood of a tender happening and being succesful. Another tool is able to predict the probability that a particular tender participant will leave the platform before completing the tender.,National,Ukraine,UA,ProZorro,Central-Government,General public services,General services.,Pilot,2017,,Learning,Machine learning,Planning and Scheduling,,,,,Enforcement,Predictive enforcement processes,Artificial Intelligence,Large,No,Yes,G2B,Dynamic Data,Streaming Data,,AI4IOP,No,Yes,No,No,Reusability,Assessment of Effectiveness and Efficiency,Calculation?,,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,IPSO DB,22/09/2021,
70018,IPSO-70018,"ProZorro, CPV Prediction",https://ocdsanalytics.com/ua/prozorro/ai/docs/examples/,"Prozorro has developed an AI tool that can predict the correct CPV codes and unit of measurement. The tool has not yet been implemented. It aims to make the platforms that provide the user-interface for organisations using the Prozorro data easier to use, reducing mis-classifications and errors;",National,Ukraine,UA,ProZorro,Central-Government,General public services,General services.,In development,2017,,Learning,Machine learning,Planning and Scheduling,,,,,Public services and engagement,Service integration (various),Artificial Intelligence,Large,No,Yes,G2B,Dynamic Data,Streaming Data,,AI4IOP,No,Yes,No,No,Reusability,Assessment of Effectiveness and Efficiency,Calculation?,,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,IPSO DB,22/09/2021,
70019,IPSO-70019,DoZorro AI tool,https://ti-ukraine.org/en/news/dozorro-artificial-intelligence-to-find-violations-in-prozorro-how-it-works/,"The monitoring portal DoZorro is a platform where each participant in the system (supplier, customer, controlling authority, citizen) can provide feedback to the government customer or supplier. The new version of the platform provides software, which through its AI capabilities, is able to identify tenders with a high risk of corruption. The results of the beta test of this system were that 26% more tenders with unfounded selection of the winner were identified, 37% more tenders with groundless disqualification, and 298% more with participants' conspiracy. The system is intended to complement and support the work done by experts - making their work more efficient.",National,Ukraine,UA,ProZorro,Central-Government,General public services,General services.,Implemented,2018,,Communication,Natural language processing,Machine learning,,,text analysis,,Enforcement,Predictive enforcement processes,Artificial Intelligence,Large,No,Yes,G2B,Historical Data,Historical Data,,AI4IOP,No,Yes,No,No,Assessment of Effectiveness and Efficiency,,Extraction?,Detection ?,Improved Public Service,,,x,,,FALSE,FALSE,,,,,,,,FALSE,,,,IPSO DB,22/09/2021,
70021,IPSO-70021,"ANAC, Machine learning tool",https://www.slideshare.net/FabianaLanotte/machine-learning-on-public-procurement-open-data-anac-case-study,The tool uses machine learning to identify hidden relationships between public administrations and private companies using unstructured information (such as public procurement titles) from the open data on public procurement.,National,Italy,IT,ANAC,Central-Government,General public services,General services.,Implemented,2018,,Learning,Machine learning,Searching,,,,,"Analysis, monitoring and regulatory research",Information analysis processes,Artificial Intelligence,,No,Yes,G2G,Historical Data,Historical Data,,AI4IOP,Yes,Yes,Yes,No,Assessment of Effectiveness and Efficiency,,Detection ?,"Structuring
Transform",FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,IPSO DB,22/09/2021,
90006,IPSO-90006,SyRi (Systeem Risico Indicatie),https://www.nysingh.nl/blog/steem-risico-indicatie-syri-is-strijd-evrm/,"Various municipalities in the Netherlands have been using the SyRi system to detect welfare fraud more effectively. SyRi has been developed by the Dutch government and uses various risk indicators from existing governmental systems such as taxes, health insurance, residence, education and many more, in order to detect which addresses hold a higher risk of fraud or misuse of welfare benefits.",National,Netherlands,NL,Dutch Government,Central-Government,General public services,General services.,Not in use anymore,2018,,Reasoning,Automated reasoning,Knowledge representation,,,,yes,Adjudication,Taking decisions on benefits  ,Artificial Intelligence,,No,No,G2G,Dynamic Data,Streaming Data,,AI4IOP,No,Yes,Yes,No,Assessment of Effectiveness and Efficiency,Administrative simplification,Detection ?,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,x,,,x,,Open government capabilities,x,,,IPSO DB,22/09/2021,
110003,IPSO-110003,Reporting issues in public space,https://meldingen.amsterdam.nl/incident/beschrijf,"When someone encounters rubbish or a maintenance issue on the street or in a park, they can report this to the municipality via an online reporting system. A dangerous traffic situation or disturbance from people or cafes can also be reported. This system used to be a collection of drop-down menus, from which the user would pick the category that best suited their report. The department responsible for a certain category would then take care of the report. However, as the municipality is a complex organisation, there are countless categories. Many times the wrong category would be chosen, resulting in delays. Now, an algorithm recognizes certain keywords, for example, waste and sidewalk. From these keywords, it determines which category it belongs to, and ultimately, which department within the municipality should examine the case. As a result, there are fewer administrative steps for the person reporting on the issue. Also, the report can be processed much faster, because it arrives at the right department more quickly.",Local,Netherlands,NL,"Research, Information & Statistics (OIS)",Local Government,General public services,Public Services,Implemented,2018,,Planning,Planning and Scheduling,Natural language processing,,,,,Public services and engagement,Engagement management,Artificial Intelligence,Considerable,No,Yes,G2C,Dynamic Data,Location Data,,AI4IOP,No,Yes,No,Yes,Preservation of information,Openness,Extraction?,,Improved Public Service,x,,,x,,Open Government Capabilities,FALSE,,,,,,,,Open government capabilities,x,x,,IPSO DB,22/09/2021,
130008,IPSO-130008,Bobbi -  Berlin administration,https://service.berlin.de/chatbot/chatbot-bobbi-606279.php,"As part of the  IDBB sub- project Virtual Citizen Assistant, the D115 call center employees of the State of Berlin are to be relieved of citizen-authority interaction and at the same time the provision of information for citizens is to be improved. This can be achieved either by automating the telephony itself (optimization of a channel) or by adding additional communication channels to telephony (multi-channel approach, hybrid approach). While personal contact with an employee is usually necessary for specific problem solving, the simple provision of information and forwarding of information can also be implemented via other, more automated, channels. We follow the suggestions for action recommended in the study Uniform telephone numbers for authorities in the European Union (IfG.CC, 2010) and formulate the project objective to increase the accessibility of D115 and to create expanded and combined access channels to information from authorities. In addition, the citizen assistant should use and promote the increasing digitalization of services of the Berlin administration. For this purpose, interfaces to services are integrated or created. As a result, the citizens will have convenient online access to the services of the Berlin administration.",Local,Germany,DE,City of Berlin,Local Government,General public services,General public services n.e.c.,Implemented,2014,2017,Communication,Natural language processing,Knowledge representation,,,chatbot,,Public services and engagement,Service personalisation (various),Artificial Intelligence,,No,Yes,G2C,Dynamic Data,Dynamic Data,,AI4IOP,No,Yes,No,No,Preservation of information,Inclusion and accessibility,Extraction?,,Improved Public Service,,x,,,,FALSE,FALSE,,,,,,,,FALSE,,,,IPSO DB,22/09/2021,
150027,IPSO-150027,PROTEUS (Scalable online machine learning for predictive analytics and real-time visualisation),https://cordis.europa.eu/project/id/687691,PROTEUS is an online machine learning algorithms and interactive visualization techniques for real-time predictive analytics to deal with extremely large data sets and data streams.,Across Countries,United Kingdom,UK,Bournemouth University,Consortium,General public services,General services.,Pilot,2016,,Learning,Machine learning,Planning and Scheduling,,,,,"Analysis, monitoring and regulatory research",Information analysis processes,Artificial Intelligence,,Yes,No,G2G,Historical Data,Historical Data,,AI4IOP,No,Yes,No,No,Reusability,Openness,Decision Support,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,,,,,FALSE,,,,IPSO DB,22/09/2021,
160003,IPSO-160003,Mobile-Age,https://cordis.europa.eu/project/id/693319,"The Mobile-Age project focussed on open government data, mobile technology, and the provision of public services addressing the needs of Europe's elderly population. Researchers used a co-creation approach for services related to the production and use of open data for cities. Scenarios were related to loneliness and social isolation, social inclusion, data curation for safer, more accessible cities, and personal health information.",Across Countries,United Kingdom,UK,University of Lancaster,Consortium,Social protection,Old age.,Pilot,2017,,Reasoning,Knowledge representation,Automated reasoning,,,,,Public services and engagement,Service personalisation (various),Artificial Intelligence,,Yes,Yes,G2C,Dynamic Data,Streaming Data,,AI4IOP,Yes,No,No,Yes,User-centricity,Inclusion and accessibility,"Structuring
Transform",,Improved Public Service,,,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,IPSO DB,22/09/2021,
160005,IPSO-160005,RECAP - Reliable Capacity Provisioning and Enhanced Remediation for Distributed Cloud Applications,https://cordis.europa.eu/project/id/732667,"The Common Agricultural Policy (CAP) presents a number of challenges for the control of Cross Compliance rules due to the complexity and diversity of the obligations to be monitored. The tools developed by RECAP (Personalised public services in support of the implementation of the CAP) support public administration, farmers and agricultural consultants by enabling more efficient and transparent compliance monitoring. To do so the project exploited a cloudbased Software as a Service (SaaS) platform, using open Earth Observation and user-generated data.",Across Countries,Germany,DE,University of Ulm,Consortium,Economic affairs,"Agriculture, forestry, fishing and hunting",Pilot,2017,,Reasoning,Knowledge representation,Searching,,,,,Public services and engagement,Service personalisation (various),Artificial Intelligence,,Yes,Yes,G2B,Historical Data,Historical Data,,AI4IOP,No,Yes,No,No,Assessment of Effectiveness and Efficiency,Administrative simplification,Detection ?,,Improved Public Service,,,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,IPSO DB,27/09/2021,
160007,IPSO-160007,SIMPATICO - Platform for PS - Italian Usecase,https://cordis.europa.eu/project/id/692819,"Online services may fail to adapt to the specific needs of citizens and companies because they are standardised processes, copied from their offline counterparts and designed from the public sector organisations own perspective. SIMPATICO (SIMplifying the interaction with Public Administration Through Information technology for Citizens and cOmpanies) proposed a novel approach, combining emerging technologies for language processing and machine learning with the wisdom of the crowd, to continuously adapt and improve interactions with public services.",Across Countries,Italy,IT,Trento Municipality,Governmental,General public services,General services.,Pilot,2017,,Learning,Machine learning,Automated reasoning,,,,,Public services and engagement,Service personalisation (various),Artificial Intelligence,,Yes,Yes,G2C,Dynamic Data,Streaming Data,https://github.com/SIMPATICOProject,AI4IOP,No,Yes,No,No,User-centricity,,"Conversation
Support? interaction",,Improved Public Service,,x,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,IPSO DB,27/09/2021,
9900041,AI_Prog_041,Management of the emergency at Hospital Gemelli - Rome,,"respond to the disease by trying to predict medical complications and the results also in terms of estimating hospitalization times, in Covid-19 patients by responding to the disease with personalized paths for each patient. Many important clinical data relating to Covid-19 patients are also not structured but, thanks to text mining techniques available in SAS solutions, the extraction of information can be automated and fast ",Local,Italy,IT,Hospital Gemelli di Roma,Local Government,Health,Hospital services.,Implemented,2020,,Planning,Planning and Scheduling,Natural language processing,,,Intelligent Data Processing,,Internal management,Internal primary processes,Artificial Intelligence,No,No,,G2G,Dynamic Data,Dynamic Data,,AI4IOP,No,Yes,No,No,Reusability,Reusability,Extraction?,"Structuring
Transform",FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,Analytics firmati Sas al Gemelli: “Così gestiamo l’emergenza”,08/11/2021,
9900044,AI_Prog_044,Natural language processing for Land Registry documentation in Sweden,,"The handwritten documents were of low quality and resolution which made analysis challenging. To fix this, the SLR carried out pre-processing work on the handwritten documents to improve the quality of the input data. The SLR then used handwritten text recognition (HTR) to extract information from the handwritten documents. The SLR then used a neural network to apply word corrections and associations to complete any sentences with words not captured by HTR. Once SLR had extracted the text, they used an AI model to highlight key features in the document, for example location, names and summary.",National,Sweden,SE,Swedish Land Registry,Central-Government,Housing and community amenities,Housing development.,Implemented,2019,,Communication,Natural language processing,Computer vision,,,text analysis,,Public services and engagement,Service integration (various),Artificial Intelligence,No,No,,G2G,Historical Data,Location Data,,AI4IOP,Yes,Yes,No,No,Administrative simplification,Reusability,"Digitising
Automate","Structuring
Transform",FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,x,,x,,,,,FALSE,,,,Natural language processing for Land Registry documentation in Sweden,08/11/2021,
9900046,AI_Prog_046,How the Ministry of Justice used AI to compare prison reports,,MoJ trained a neural network on the prison reports to track how people use specific words in prison contexts. The algorithm groups words with similar meanings to form an ‘intelligent search’ tool. New reports are automatically added to the tool’s library so the data remains up-to-date. This means staff can rapidly uncover information buried in the reports and identify trends.,National,United Kingdom,UK,Ministry of Justice,Central-Government,Public order and safety,Public order and safety n.e.c.,Implemented,2019,,Communication,Natural language processing,Machine learning,,,text analysis,,Internal management,Internal primary processes,Artificial Intelligence,No,No,,G2G,Dynamic Data,Dynamic Data,,AI4IOP,No,Yes,Yes,No,Technology Neutrality and Data Portability,Assessment of Effectiveness and Efficiency,Detection ?,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,How the Ministry of Justice used AI to compare prison reports,08/11/2021,
9900053,AI_Prog_053,How we used deep learning to structure GOV.UK's content,https://www.gov.uk/,"We used Natural Language Processing to make the text content on the page machine readable. We used this and the page metadata (like date published and department) to learn patterns that could be used to predict which sub-branches an untagged page should be organised in.
In some cases, a GOV.UK page is tagged to more than one sub-branch, so we implemented a multilabel model to be able to do exactly that.",National,United Kingdom,UK,Government Digital Service,Central-Government,Economic affairs,Communication,Implemented,2018,,Planning,Planning and Scheduling,Machine learning,,,Intelligent Data Processing,,Internal management,Internal support processes,Artificial Intelligence,No,No,,G2C,Dynamic Data,Dynamic Data,,AI4IOP,Yes,Yes,No,No,Technology Neutrality and Data Portability,Inclusion and accessibility,"Structuring
Transform",Classification,Improved Public Service,,,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,How we used deep learning to structure GOV.UK’s content,08/11/2021,
99000119,AI_Prog_119,eTranslation: Machine translation for public administrations,https://ec.europa.eu/info/resources-partners/machine-translation-public-administrations-etranslation_en,"eTranslation allows public administrations to get quick, raw machine translations from and into any official EU language. 
eTranslation is an online machine translation service provided by the European Commission (EC).
eTranslation is intended for European public administrations, Small and Medium-sized enterprises and University language faculties, or for Connecting Europe Facility projects.If you work in one of the above in an EU country, Iceland or Norway, you can use our product free of charge until further notice. Apart from individual users, the machine translation service is also available to EC information systems and online services through an API. Example of use is European Data Portal to translate all the dataset metadata in 24 languages",Across Countries,Belgium,BE,European Parliament,Governmental,General public services,General services.,Implemented,2017,,Communication,Natural language processing,Machine learning,,,automatic translation,,Internal management,Internal primary processes,Artificial Intelligence,No,Yes,,G2G,Dynamic Data,Dynamic Data,,AI4IOP,No,Yes,Yes,Yes,Multilingualism,Preservation of information,Translation?,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,"AI per le traduzioni in tempo reale, l’Europarlamento sceglie il Made in Italy",08/11/2021,
99000125,AI_Prog_125,Crisis Prevention: PREVIEW,Crisis Prevention: PREVIEW,"Alongside the deployment of ""skilled civilian assistants"" the foreign ministry admits that it is also using modern instruments for ""crisis prevention"" analysis. To ""be able to observe and evaluate disconcerting developments in countries and regions,"" the ministry uses ""situation profiles"" compiled ""round-the-clock"" by the more than 200 German diplomatic missions. On the other hand, with access to the ""data tool"" PREVIEW (""Prediction, Visualization, Early Warning""), software is now available which, using ""information graphics"" and the corresponding maps, can not only make ""conflict situations"" visible, but even provide possible ""trend analyses"" on the potential course of political and social developments. ",Across Countries,Germany,DE,German Federal Foreign Office,Governmental,General public services,Public Services,Implemented,2019,,Planning,Planning and Scheduling,Knowledge representation,,,chatbot,,"Analysis, monitoring and regulatory research",Prediction and planning ,Artificial Intelligence,,,,G2G,Dynamic Data,Dynamic Data,,AI4IOP,No,Yes,No,Yes,Assessment of Effectiveness and Efficiency,User-centricity,Detection ?,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,Crisis Prevention: PREVIEW,08/11/2021,
99000252,AI_Prog_252,AI technology speeds up historical image handling at Hungary's National Archive.,https://videos.microsoft.com/customer-stories/watch/uwk2D7xW2KEsAkQShhxjZh?,"NAVA—part of MTVA, the National Audiovisual Archive of Hungary—acts to preserve the country’s rich database of twentieth-century imagery and audio heritage. Microsoft Azure Cognitive Services has proven the only tool to help do what the team needs: accurately classify millions of images that will serve as the country’s long-term collective memory bank.",National,Hungary,HU,NAVA,Central-Government,"Recreation, culture and religion",Cultural services.,Pilot,2019,,Perception,Computer vision,Machine learning,,,chatbot,,Internal management,Internal support processes,Artificial Intelligence,No,No,,G2G,Historical Data,Historical Data,,AI4IOP,No,No,No,Yes,Preservation of information,Reusability,Classification,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,x,,,,FALSE,,,,AI technology speeds up historical image handling at Hungary’s National Archive.,08/11/2021,
99000258,AI_Prog_258,Unlocking the potential of crowdsourcing for public decision-making with artificial intelligence,https://www.citizenlab.co/platform-online-engagement-toolbox,"CitizenLab has developed machine-learning algorithms in order to help civil servants easily process thousands of citizen contributions and efficiently use these insights in decision-making. The dashboards on our platform classify ideas, show what topics are emerging, summarise trends and cluster similar contributions by theme, demographic trait or location. CitizenLab has developed its own NLP (Natural Language Processing) techniques, with the capacity to automatically classify and analyse thousands of contributions collected on citizen participation platforms. The algorithms identify the main topics and group similar ideas together into clusters",National,Belgium,BE,CitizenLab,Private sector,Economic affairs,Communication,Implemented,2018,,Planning,Planning and Scheduling,Machine learning,Computer vision,,Computer Vision,,Public services and engagement,Engagement management,Artificial Intelligence,,,,G2C,Dynamic Data,Dynamic Data,,AI4IOP,No,Yes,No,Yes,User-centricity,Openness,Classification,Extraction?,Improved Public Service,,x,,x,,Open Government Capabilities,FALSE,,,,,,,,Open government capabilities,x,x,,Unlocking the potential of crowdsourcing for public decision-making with artificial intelligence,08/11/2021,
99000315,AD_Prog_315,INPS project in the UNESCO World Top 10 for artificial intelligence,https://www.inps.it/it/it/inps-comunica/notizie/dettaglio-news-page.news.2021.12.inps-nella-top-10-mondiale-dell-intelligenza-artificiale-di-ircai-unesco.html,"The plan to make the communication flow of millions of certified e-mails (certified e-mails) more efficient. The project focuses on making the communication flow of the millions of PECs sent to INPS every year more efficient, through a system that is able to understand the content of the PEC received and automatically direct it to the INPS operator more specialized in the specific response. This has a twofold advantage: it cuts down on INPS communication and response times to the applicant; and optimizes the work of operators by allowing them to devote themselves to activities with maximum added value for the user.",National,Italy,IT,INPS - Italy,Central-Government,General public services,General services.,Pilot,2021,,Learning,Machine learning,Optimisation,,,Intelligent Data Processing,,Internal management,Internal support processes,Artificial Intelligence,,,,G2G,Historical Data,Historical Data,,AI4IOP,No,Yes,Yes,Yes,Administrative simplification,Multilingualism,Classification,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,Progetto Inps nella Top 10 mondiale Unesco per intelligenza artificiale,10/01/2022,
1057,AIWT6-1057,LEOS Case Study 1: Learning from examining corrigenda ,https://joinup.ec.europa.eu/collection/justice-law-and-security/solution/leos-open-source-software-editing-legislation/document/drafting-legislation-era-ai-and-digitisation,"This use case can detect patterns that could be avoided in legal drafting, with benefits that include better regulation, clear legislation, bringing down the costs associated with republication, and saving time in making updated legislation available.",Across Countries,Belgium,BE,Digital Europe Programme (DIGITAL),Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2022,,Reasoning,Knowledge representation,Natural language processing,Searching,,,,Internal management,Internal primary processes,Artificial Intelligence,,,,,,,,AI4IOP,No,Yes,Yes,No,Administrative simplification,Reusability,Detection ?,,FALSE,,,,,,FALSE,FALSE,,,,,,,,FALSE,,,,https://joinup.ec.europa.eu/collection/justice-law-and-security/solution/leos-open-source-software-editing-legislation/document/drafting-legislation-era-ai-and-digitisation,10/12/2022,
1058,AIWT6-1058,LEOS Case 2: Transposition of EU directives ,https://joinup.ec.europa.eu/collection/justice-law-and-security/solution/leos-open-source-software-editing-legislation/document/drafting-legislation-era-ai-and-digitisation,Explores how AI can be used to document the transposition and consolidation of EU law into Member States. The plan is to take the transposition of some directives into Italian domestic legislation and to compare them using AI in order to measure the relationships between the different articles and so identify where the two document diverge,Across Countries,Belgium,BE,Digital Europe Programme (DIGITAL),Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2022,,Reasoning,Automated reasoning,Natural language processing,Machine learning,,,,Internal management,Internal primary processes,Artificial Intelligence,,,,,,,,AI4IOP,No,Yes,Yes,No,Administrative simplification,Reusability,Detection ?,,FALSE,,,,,,FALSE,FALSE,,,,,,,,FALSE,,,,https://joinup.ec.europa.eu/collection/justice-law-and-security/solution/leos-open-source-software-editing-legislation/document/drafting-legislation-era-ai-and-digitisation,10/12/2022,
1059,AIWT6-1059,LEOS Case 3: Derogations and transitory provisions,https://joinup.ec.europa.eu/collection/justice-law-and-security/solution/leos-open-source-software-editing-legislation/document/drafting-legislation-era-ai-and-digitisation,"To explore how AI classification can detect derogations and connect them with the initial obligations. We also wanted to detect the temporal parameters, when they are declared in the text, and the conditions when the derogation is applicable",Across Countries,Belgium,BE,Digital Europe Programme (DIGITAL),Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2022,,Planning,Searching,Natural language processing,Automated reasoning,,,,Internal management,Internal primary processes,Artificial Intelligence,,,,,,,,AI4IOP,No,Yes,Yes,No,Administrative simplification,Reusability,Detection ?,,FALSE,,,,,,FALSE,FALSE,,,,,,,,FALSE,,,,https://joinup.ec.europa.eu/collection/justice-law-and-security/solution/leos-open-source-software-editing-legislation/document/drafting-legislation-era-ai-and-digitisation,10/12/2022,
1060,AIWT6-1060,LEOS Case 4: Checking for digital readiness,https://joinup.ec.europa.eu/collection/justice-law-and-security/solution/leos-open-source-software-editing-legislation/document/drafting-legislation-era-ai-and-digitisation,"to explore how to support the assessment of an act’s digital readiness: policies and legislative acts are digital-ready if they enable smooth and digital-by-default policy implementation through best use of digital technologies and data. We have three main subgoals in this proof of concept:
1. to calculate an index related to a specific document in relation to the concept ‘digital-ready’;
2. to calculate how pervasive an effect normative citations and definitions have on the normative system (propagation effect of some definition when it is used a normative citation instead to repeat the definition);
3. to develop a predictive model in order to calculate the index of a new document while drafting small fragments of text.",Across Countries,Belgium,BE,Digital Europe Programme (DIGITAL),Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2022,,Planning,Optimisation,Natural language processing,,,,,Internal management,Internal primary processes,Artificial Intelligence,,,,,,,,AI4IOP,No,Yes,Yes,No,Administrative simplification,Reusability,Calculation?,,FALSE,,,,,,FALSE,FALSE,,,,,,,,FALSE,,,,https://joinup.ec.europa.eu/collection/justice-law-and-security/solution/leos-open-source-software-editing-legislation/document/drafting-legislation-era-ai-and-digitisation,10/12/2022,
1063,AIWT6-1063,Facial and official document recognition to deliver digital identities,https://www.aoc.cat/en/projecte-innovacio/identificacio-remota-dels-ciutadans-mitjancant-videoidentificacio/,Remote identification of the citizen using facial recognition,Regional,Spain,ES,AOC Consorci Administració Oberta de Catalunya,Regional Government,General public services,General services.,Implemented,2022,,Perception,Computer vision,Natural language processing,Automated reasoning,,,,Internal management,Internal primary processes,Artificial Intelligence,,,,,,,,AI4IOP,No,Yes,No,No,Administrative simplification,Assessment of Effectiveness and Efficiency,Detection ?,,FALSE,,,,,,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.aoc.cat/en/projecte-innovacio/identificacio-remota-dels-ciutadans-mitjancant-videoidentificacio/,10/12/2022,
1067,AIWT6-1067,Automating the energy poverty report ,https://www.aoc.cat,"According to the law in Spain, the citizens who are facing complex economic or social situations cannot be cut off from basic supply services (gas, water or electricity). When the suppliers detect unpaid invoices, before cutting off the service, they must do a consultation to the municipality to know if the citizen or family is facing a situation of social vulnerability. The municipalities receive monthly lists from the companies in different formats and have to go through a costly bureaucratic manual process in order to validate if a citizen is in social or economic risk. The solution developed by AOC automatizes this complex process of data verification by improving the interoperability between the companies and the municipalities and between the municipalities and other administrations to verify the data.?",Regional,Spain,ES,AOC Consorci Administració Oberta de Catalunya,Regional Government,Social protection,Fuel and energy,Implemented,2022,,Planning,Planning and Scheduling,Automated reasoning,Knowledge representation,,,,Public services and engagement,Information analysis processes,Artificial Intelligence,,,,,,,,AI4IOP,No,No,Yes,Yes,Administrative simplification,Assessment of Effectiveness and Efficiency,Detection ?,,FALSE,,,,,,FALSE,FALSE,,,,,,,,FALSE,,,,,10/12/2022,
