PSTW ID,Name,Website,Description,Geographical extent,Geographical coverage (country),Geographical coverage (NUTS 2021),Responsible Organisation,Responsible Organisation category,COFOG Level I,COFOG Level II,Status,Start Year,End Year,Process type,Application type,Cross Border,Cross Sector,Technology,Interaction,Improved Public Service,Personalised Services,Public (citizen)-centred services,Increase quality of PSI and services,"More responsive, efficient, and cost-effective public services",New services or channels,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminated the risk of corruption and abuse of the law by public servants,"Enabled greater fairness, honesty, equality",Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source,AI Classification (I),AI Classification Subdomain (II) (main),AI Classification Subdomain (II) (Other I),AI Classification Subdomain (II) (Other II),AI Classification Subdomain (II) (Other III),AI Keywords,Date-updated
PSTW-1587,Heatmap in Helsinki,https://www.hel.fi/en/news/the-new-heatmap-website-shows-the-most-congested-areas-of-helsinki-in-real-time,"The page will display the congestion status of key tourism-related areas, sights and services in Helsinki for the current minute in the form of a colour-coded map view. Thanks to the Heatmap service, tourists and local residents alike can make their visits more pleasant and avoid crowds in order to feel safer. As far as we know, Helsinki is the first city in the world to make a heatmap freely available to everyone for the purpose of improving safety.",Local,Finland,FI1B,City of Helsinki,Local Government,Public order and safety,Public order and safety n.e.c.,Implemented,2021,,"Analysis, monitoring and regulatory research",Information analysis processes,No,No,Artificial Intelligence,G2G,,,,,,,x,,,,x,,,,,,,,"Smart tourism report, https://op.europa.eu/en/publication-detail/-/publication/9df86541-fba5-11ec-b94a-01aa75ed71a1/language-en",Perception,Knowledge representation,,,,,14/09/2023
PSTW-1588,Webapp L15 - digital ecosystem of Lombardy Region,https://www.l15.regione.lombardia.it/#/home,"This digital platform gathers single APIs provided by public or private providers. L’ambiente si basa su una personalizzazione (realizzata da Aria S.p.A) di Open 2.0, l’applicativo open source messo a disposizione da Regione Lombardia per la creazione di strumenti collaborativi. Multiple services are available, from health care unit availability in regional hopsitals to parking availability.",Regional,Italy,ITC4,Region of Lombardy,Regional Government,General public services,General public services n.e.c.,Implemented,2023,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,G2C,x,x,x,x,x,x,,,,,,,,,,,,,"Smart tourism report, https://op.europa.eu/en/publication-detail/-/publication/9df86541-fba5-11ec-b94a-01aa75ed71a1/language-en",Services,AI Services,,,,platform as a service,14/09/2023
PSTW-1589,Visit Berlin - digital tourism,https://www.visitberlin.de/en/blog/top-11-audio-walks-Berlin,"visitBerlin is the city's official marketing agency and promotes Berlin as a tourism and congress destination worldwide. The city has implemented a free digital solution based on the QR (Quick Response) code technology. Tourists can discover the history of Berlin while walking across the city, framing with their devises the QR codes positioned close to cultural resources such as building walls, paving stones, and tiles267. After scanning the QR code, user can easily access to informative contents and multimedia information, including descriptions and virtual representations of historical transformations that took place in the city. An interactive map provides information about all project’s QR codes positioned in the city, creating a thematic guided tour of a unique openair museum. This overall map can also address the potential limited visibility of the QR codes, supporting users especially in crowded places.",Local,Germany,DE30,visitBerlin,Local Government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",Implemented,2021,,Public services and engagement,Service personalisation (various),No,No,AR/VR,G2C,x,x,x,,,x,,,,,,,,,,,,,"Smart tourism report, https://op.europa.eu/en/publication-detail/-/publication/9df86541-fba5-11ec-b94a-01aa75ed71a1/language-en",,,,,,,14/09/2023
PSTW-1590,Brasov virtual tour,https://www.researchgate.net/publication/326022909_A_handheld_Augmented_Reality_to_revive_a_demolished_Reformed_Church_from_Brasov,"Brasov’s local authorities developed the application “Virtual Bra?ov” to create interactive augmented reality
experiences for the fruition of the local cultural heritage. The application is based on algorithms that identify
representative monuments and sites located in the historical centre, providing information and images related
to past periods268. “Virtual Bra?ov” offers an interesting cultural storytelling experience to discover the city. The
informative contents - developed through the engagement of experts from different fields - place emphasis on
the immaterial dimension of the cultural heritage, providing anecdotes, legends, and curiosities to enrich the
educational experience.269",Local,Romania,RO12,Municipality of Brasov,Local Government,"Recreation, culture and religion",Cultural services.,Implemented,2020,,Public services and engagement,Service personalisation (various),No,No,AR/VR,G2C,x,x,x,,,x,,,,,,,,,,,,,"Smart tourism report, https://op.europa.eu/en/publication-detail/-/publication/9df86541-fba5-11ec-b94a-01aa75ed71a1/language-en",,,,,,,14/09/2023
PSTW-1591,Crowd monitoring in Antwerp,https://www.gsma.com/iot/wp-content/uploads/2016/09/cl_antwerp_cs_web_09_16.pdf,"Orange Belgium is able to provide a real-time data
stream of the location of all mobile phones connected
to its network within a given area. This positioning data
is derived from an analysis of the connection of phones
to masts across 2G, 3G and 4G networks, as well as use
of a timestamp to accurately position a device. Mobile
phones in the area are all given a unique, anonymous ID.
This data is displayed via a crowd monitoring tool
developed by Orange Belgium and Cropland for the
City of Antwerp to use for security, mobility and city
marketing purposes.",Local,Belgium,BE21,City of Antwerp,Local Government,Public order and safety,Public order and safety n.e.c.,Implemented,2017,,"Analysis, monitoring and regulatory research",Information analysis processes,No,No,Artificial Intelligence,G2G,,,,,,,x,,,,x,,,,,,,,"Smart tourism report, https://op.europa.eu/en/publication-detail/-/publication/9df86541-fba5-11ec-b94a-01aa75ed71a1/language-en",Perception,,,,,sensor network,14/09/2023
PSTW-1592,H0DE1AN - Big data to improve the tourism management in Gipuzkoa under the Begika model,https://www.hodeian.eus/public/es/index.php,"H0DE1AN wants to promote sustainable and efficient tourism. It is a tool to analyze consumption habits, origin or how visitors move through the territory of Gipuzkoa. Each indicator shown must be analyzed in the context of the information source that provides it.",Local,Spain,ES21,City of Gipuzkoa,Local Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2017,,"Analysis, monitoring and regulatory research",Information analysis processes,No,No,Artificial Intelligence,G2G,,,,,,,x,,,,x,x,,,,,,,"Smart tourism report, https://op.europa.eu/en/publication-detail/-/publication/9df86541-fba5-11ec-b94a-01aa75ed71a1/language-en",Reasoning,Knowledge representation,,,,data analytics,14/09/2023
PSTW-1593,Arantxat virtual tourist guide,https://basquemagazine.com/en/plans/gipuzkoa-digitises-its-tourism/,"One of the milestones in this process of innovation and commitment to new channels is the creation of 'Arantxat', a virtual tourist guide developed under a chatbot system available for whatsapp that includes all the information flows that have been collected from the most common queries received in tourist offices.",Local,Spain,ES21,City of Gipuzkoa,Local Government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",Implemented,2020,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,G2C,x,x,x,x,x,x,,,,,,,,,,,,,"Smart tourism report, https://op.europa.eu/en/publication-detail/-/publication/9df86541-fba5-11ec-b94a-01aa75ed71a1/language-en",Communication,Natural language processing,,,,chatbot,14/09/2023
PSTW-1594,EU deploys first quantum technology in six sites across Europe,https://ec.europa.eu/commission/presscorner/detail/%20en/ip_22_5914,"Today, the European High-Performance Computing Joint Undertaking (EuroHPC JU) has announced the selection of six sites that will host the first European quantum computers: in Czech republic, Germany, Spain, France, Italy, and Poland. They will be integrated on site into existing supercomputers, and will form a wide network across Europe. The total planned investment is over €100 million, half of which comes from the EU and the other half from the 17 countries participating in the EuroHPC JU. Academic researchers and the industry, no matter where in Europe they are located, will be able to access these six quantum computers based on state-of-the-art European technology.

The new quantum computers will also address the growing demand for quantum computing resources and potential new services from the European industry and academia. They will be capable of solving complex problems relating to areas such as health, climate-change, logistics, or energy usage in a matter of hours, rather than the current months and years needed by today's systems, all while consuming far less energy.",Across Countries,European Union,EU,European High-Performance Computing Joint Undertaking (EuroHPC JU),Academic-Research,Education,R&D education.,Planned,2022,,"Analysis, monitoring and regulatory research",Innovating Public Policy ,No,No,Quantum Computing,G2B,x,,,,,x,,,,,,,,,,,,,https://ec.europa.eu/commission/presscorner/detail/%20en/ip_22_5914,,,,,,,14/09/2023
PSTW-1595,TrackIT - Blockchain for trade export,https://www.ice.it/it/area-clienti/eventi/dettaglio-evento/2023/@@/036/allegati-generati/pdf-completo,"The Italian Trade Agency launched this open-call project to promote the digitalisation of Italian firms, through the piloting of new blockchain technologies to track goods in commercial trade. The participation in the project will be completely free.",National,Italy,IT,Italian Trade Agency,Central-government,Economic affairs,"General economic, commercial and labour affair",Pilot,2023,,Public services and engagement,Tracking of goods and assets along the supply chain ,No,Yes,Blockchain,G2B,x,,,,,x,,,,,,,,,,,,,https://www.ice.it/it/blockchain,,,,,,,14/09/2023
PSTW-1597,e-Albania platform chatbot,https://e-albania.al/,"Chatbot for citizens enquiries available on the e-Albania platform, launched at the beginning of 2024",National,Albania,ALB,Albanian national agency of information technology (AKSHI),Central-Government,General public services,General public services n.e.c.,Implemented,2024,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://seenews.com/news/albania-launches-virtual-assistant-for-govt-e-services-844363,Communication,Natural language processing,AI Services,,,chatbot,15/01/2024
PSTW-1599,TreC Mamma - Italian app for new mothers,https://www.apss.tn.it/Novita/Notizie/Nasce-TreC-Mamma-la-App-trentina-per-tutte-le-future-mamme,TreC Mamma is a digital appintegrated with a digital personal assistant that allows mothers to use chatbots to gather information on pregnancy and childcare. ,Regional,Italy,ITH2,Azienda Provinciale per i Servizi Sanitari Trento,Regional Government,Health,Public health services.,Implemented,2023,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://magazine.fbk.eu/it/news/nasce-trec-mamma-la-app-trentina-per-tutte-le-future-mamme/,Communication,Natural language processing,AI Services,,,chatbot,15/01/2024
PSTW-1600,Hillingdon Council praised for innovative approach to safeguarding children,"https://www.hillingdon.gov.uk/article/7121/Council-praised-for-innovative-approach-to-safeguarding-children, https://trentinosalutedigitale.com/blog/portfolio/trec-mamma/","With PwC and Amazon’s support, in only a three month period, Hillingdon became the first UK local authority to have deployed an automated voice and web chat solution at scale.",Local,United Kingdom,UK,London Borough of Hillingdon,Local Government,General public services,General public services n.e.c.,Implemented,2023,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://www.hillingdon.gov.uk/article/7121/Council-praised-for-innovative-approach-to-safeguarding-children,Communication,Natural language processing,AI Services,,,chatbot,15/01/2024
PSTW-1602,"FOLDOUT - Through-foliage detection, including in the outermost regions of the EU",https://foldout.eu/,"FOLDOUT is an Horizon 2020 project focusing on border surveillance with the use of AI and machine learning algorithms. With novel specialised machine learning algorithms and performance evaluation matrices FOLDOUT technology provides added value to sensor data . This allows the system to perceive, localize, track and classify objects into humans, vehicles and other objects. FOLDOUT technology integrates ground- aerial and satellite data for securing near real-time detection in foliated areas. ",Across Countries,Austria,AT,AIT Austrian Institute of Technology,Academic-Research,Public order and safety,Police Services,Pilot,2018,2022,Enforcement,Smart Recognition processes,Yes,No,Artificial Intelligence,G2G,,,,,,,x,,x,,x,,,,,,,,https://cordis.europa.eu/project/id/787021,Perception,Computer vision,Machine learning,,,image processing,15/01/2024
PSTW-1604,School choice preferences algorithm in the Federation Wallonie-Bruxelles,https://inscription-cfwb-be.translate.goog/procedure-dinscription/le-classement-de-la-cogi/comment-les-places-sont-elles-attribuees-lors-du-classement-de-la-cogi/?_x_tr_sl=fr&_x_tr_tl=en&_x_tr_hl=it&_x_tr_pto=wapp,"The Federation Wallonie-Bruxelles uses an authomatic algorithm to allocate children to secondary schools depending on their preferences.  First, for each school in their list of preferred schools, students receive a random rank. After this, each school has an ordered list of students, numbered from low (they get the place) to high (they only get a place in the school if there are enough places). The school gives as many tickets to students as there are available places. Now, if a student gets a ticket for more than one school, they keep only the ticket for their first school of preference. They will ther their tickets for the other schools, which means that these schools now have an extra free ticket that they assign to the next student on their waiting list.",Regional,Belgium,BE,Federation Wallonie-Bruxelles ,Regional Government,Education,Secondary education.,Implemented,2023,,Internal management,Internal primary processes,No,No,Artificial Intelligence,G2G,,,,,,,x,,x,,x,,,,,,,,https://inscription.cfwb.be/lalgorithme-doptimalisation-des-preferences/,Reasoning,Automated reasoning,Optimisation,Machine learning,,,15/01/2024
PSTW-1605,Healthy Food production with AI,https://ai.vub.ac.be/portfolio/healthy-food-rd-project-with-puratos/,"The Healthy Food project is a joint project with Puratos and the AI Lab of the Vub. The general purpose of this R&D project is to develop a multi-objective predictive model to design healthier recipes for bakery and patisserie products by identifying healthy ingredients and understanding their behavior during and after backing processes, ultimately leading towards automatic recommendations for development of recipes with healthy characteristics and a more balanced nutritional profile thereby maintaining the end characteristics of the products (i.e. taste, texture and functionality).",National,Belgium,BE,Vrije Universiteit Brussels,Academic-Research,Economic affairs,Other industries,Pilot,2020,2023,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,G2B,x,,,,,x,,,,,,,,,,,,,https://ai.vub.ac.be/portfolio/healthy-food-rd-project-with-puratos/,Planning,Planning and Scheduling,Optimisation,,,,15/01/2024
PSTW-1606,EPD: Employability in programme development,https://ai.vub.ac.be/portfolio/epd-employability-in-programme-development-employability-in-programme-development/,"The EPD -project has the following goals (1) Map the availability of information on skills demand for each participating institution as well as the needs of practitioners in participating Higher Education Institutions (HEIs) for labour market intelligence to inform course and programme design. (2) Use information gathered to design and develop a prototype labour market intelligence dashboard for use by staff in HEIs. (3) To augment secondary data sources made accessible through the dashboard, additional input on skills demand will be sought from employers. (4) The project will also curate best practice in employability from across Europe and publish in a series of case studies. All of these analysis are carried out with the help of AI and natural language processing.",National,Belgium,BE,Vrije Universiteit Brussels,Academic-Research,Education,Tertiary education.,Pilot,2020,2023,"Analysis, monitoring and regulatory research",Prediction and planning ,No,Yes,Artificial Intelligence,G2B,x,,,,x,,,,,,,,,,,,,,https://ai.vub.ac.be/portfolio/epd-employability-in-programme-development-employability-in-programme-development/,Planning,Planning and Scheduling,Optimisation,,,,15/01/2024
PSTW-1608,CSAI: Cyber Security Artificial Intelligence,https://ai.vub.ac.be/portfolio/csai-cyber-security-artificial-intelligence/,"Funded by the innovation & entrepreneurship agency in Flanders (Vlaanderen Agentschap Innoveren & Ondernemen), this project aims to move beyond the stage of automated data analytics and to seek models and techniques that provide some degree of intelligence beyond this level, that can serve Cyber Security technology approaches.",National,Belgium,BE,Vrije Universiteit Brussels,Academic-Research,Public order and safety,R&D public order and safety.,Pilot,2020,2022,Enforcement,Improving Cybersecurity ,No,No,Artificial Intelligence,G2G,,,,,,,x,,x,,x,,,,,,,,https://ai.vub.ac.be/portfolio/csai-cyber-security-artificial-intelligence/,Reasoning,AI Services,,,,,15/01/2024
PSTW-1609,EV Charging Optimiser,https://ai.vub.ac.be/portfolio/ev-charging-optimiser/,"In this project, VUB and Energis aim to develop an efficient and viable way to charge an entire fleet of EVs in a coordinated and controlled way, and to test this approach in lab and real environments. Unlike synthetic ones, real environments are characterised by a high degree of unpredictability. Therefore, the robustness of the EV charging scheduling controller is a main focus, which is why we aim to apply Reinforcement Learning to this problem, a successful technique from Artificial Intelligence well known to achieve robustness.",National,Belgium,BE,Vrije Universiteit Brussels,Academic-Research,Economic affairs,Transport,Pilot,2018,2020,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,G2B,x,,,,,x,,,,,,,,,,,,,https://ai.vub.ac.be/portfolio/ev-charging-optimiser/,Reasoning,Automated reasoning,Planning and Scheduling,Machine learning,,reinforcement learning,15/01/2024
PSTW-1610,Driving collective data governance through smart engagement platforms (COLLIBRA),https://ai.vub.ac.be/portfolio/driving-collective-data-governance-through-smart-engagement-platforms/,"The goal of this project is to bring data governance closer to the actual workplaces that are using the data by tapping into the many business applications that shape systems of engagement, ranging from physical board rooms and design workshops to virtual team collaboration tools such as Confluence and Slack. They developed a platform incorporating Artificial Intelligence (AI) to learn more of the data usage context from the bottom-up and provide reliable and machine-accurate recommendations for the next best action to take directly in the core business applications. Supporting the low-level decisions business users face when interacting with data, will allow them to spent more time on focusing on real impactful problems. The rich data engagement context generated by the proposed approach will help users to promote their own data sets resulting from engagements and ultimately build trust around them.",National,Belgium,BE,Vrije Universiteit Brussels,Academic-Research,Economic affairs,R&D economic affairs,Pilot,2018,2021,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,G2B,x,,,,,x,,,,,,,,,,,,,https://ai.vub.ac.be/portfolio/driving-collective-data-governance-through-smart-engagement-platforms/,Planning,Planning and Scheduling,Knowledge representation,,,data analytics,15/01/2024
PSTW-1611,Competence based matching - a success story from Flanders to Malta,https://op.europa.eu/en/publication-detail/-/publication/807dae77-2657-11e7-ab65-01aa75ed71a1/language-en,"VDAB uses a specific system to support matching of jobseekers and employers' vacancies. The objective of this system is to help employers advertise vacancies that are systematically detailed and sufficiently comprehensive, and match these vacancies against jobseekers with equally comprehensive competency profiles - in order to generate closer and more accurate matches in VDAB's systems. In July 2016 VDAb successfully exported this concept to the Maltese PES.",Regional,Belgium,BE2,Flemish Employment and Vocational Training Service (VDAB),Regional Government,Social protection,Unemployment.,Implemented,2016,,Public services and engagement,Service personalisation (various),Yes,No,Artificial Intelligence,G2C,x,x,,,,x,,,,,,,,,,,,,https://op.europa.eu/en/publication-detail/-/publication/807dae77-2657-11e7-ab65-01aa75ed71a1/language-en,Reasoning,Machine learning,Optimisation,,,,15/01/2024
PSTW-1612,Managing vacancies - Recommender: the amazon of the labour market,https://op.europa.eu/en/publication-detail/-/publication/807dae77-2657-11e7-ab65-01aa75ed71a1/language-en,The Innovation Lab of VDB is working to improve matching using Big Data analytics to recommend vacancies to a jobseeker when they access the VDAb's vacancy system.,Regional,Belgium,BE2,Flemish Employment and Vocational Training Service (VDAB),Regional Government,Social protection,Unemployment.,In development,2017,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,G2C,x,x,,,,x,,,,,,,,,,,,,https://op.europa.eu/en/publication-detail/-/publication/807dae77-2657-11e7-ab65-01aa75ed71a1/language-en,Reasoning,Machine learning,Optimisation,,,recommender system,15/01/2024
PSTW-1615,Wien's digital building permit system,https://digitales.wien.gv.at/projekt/brisevienna/,"BRISE (Building Regulations Information for Submission Envolvement) generally stands for smart, efficient public administration. Based on administrative procedures in building and construction as an example for smart digital administration, the City of Vienna has taken on a pioneering role in Europe. Innovative technologies help digitise building permit applications and procedures, making the entire process faster, more efficient, more transparent and less costly. The digital processes developed for BRISE can be transferred directly to other fields of public administration. The BRISE project combines the high-tech methods of Building Information Modeling (BIM), Artificial Intelligence (AI) and Augmented Reality (AR) into a comprehensive, consistently digital and automated approval process. Instead of 2D paper plans, completely digital 3D building models are used. The BRISE solution is therefore an innovative basis for managing the entire construction project - from planning and submission to on-site construction site inspection and acceptance of the finished structure.",Local,Austria,AT,City of Wien - Municipal Directorate of Strategic ICT,Local Government,Economic affairs,"Mining, manufacturing and construction.",Pilot,2020,2023,"Analysis, monitoring and regulatory research",Innovating Public Policy ,No,No,Artificial Intelligence,G2G,,,,,,,x,,x,,x,x,,,,,,,https://digitales.wien.gv.at/en/projekt/brise-vienna/,Planning,Planning and Scheduling,,,,,15/01/2024
PSTW-1617,Facebook chatbot connected to NoiPA services,https://www.agendadigitale.eu/cittadinanza-digitale/noipa-come-migliorare-assistenza-e-comunicazione-con-un-chatbot/,Chatbot responding to public employees' enquiries of NoiPA services.,National,Italy,IT,Direzione dei Sistemi Informativi e dell'Innovazione of the Minitry of the Economics and Finances,Central-Government,General public services,Transfers of a general character between different levels of government.,Implemented,2017,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://www.agendadigitale.eu/cittadinanza-digitale/noipa-come-migliorare-assistenza-e-comunicazione-con-un-chatbot/,Communication,Natural language processing,AI Services,,,,15/01/2024
PSTW-1622,Stadio di Domiziano - visita con realtà aumentata,https://stadiodomiziano.com/domiziano-virtual-experience/,The Museum of Stadio Domiziano offers to visitors a virtual experience.,Local,Italy,ITI4, Sovrintendenza ai Beni Culturali di Roma Capitale,Local Government,"Recreation, culture and religion",Cultural services.,Implemented,2022,,Public services and engagement,Service personalisation (various),No,No,AR/VR,G2C,x,x,x,,x,x,,,,,,,,,,,,,https://stadiodomiziano.com/domiziano-virtual-experience/,,,,,,,21/09/2023
PSTW-1623,Duomo di Milano 4.0,https://www.duomomilano.it/it/article/2023/07/14/duomo-40-nuove-esperienze-di-realta-virtuale-e-realta-aumentata/633/,Virtual reality tour in the Duomo of Milan.,Local,Italy,ITC4,Duomo di Milano,Local Government,"Recreation, culture and religion",Cultural services.,Implemented,2023,,Public services and engagement,Service personalisation (various),No,No,AR/VR,G2C,x,x,x,,x,x,,,,,,,,,,,,,https://www.duomomilano.it/it/article/2023/07/14/duomo-40-nuove-esperienze-di-realta-virtuale-e-realta-aumentata/633/,,,,,,,21/09/2023
PSTW-1624,Chatbot Duomo di Milano official website,https://www.duomomilano.it/it/infopage/veneranda-fabbrica-del-duomo-di-milano/23/,Chatbot available on the official website of the Milan Duomo.,Local,Italy,IT,Duomo di Milano,Local Government,"Recreation, culture and religion",Cultural services.,Implemented,2021,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://www.duomomilano.it/it/infopage/informativa-servizio-chatbot/152/,Communication,Natural language processing,AI Services,,,,15/01/2024
PSTW-1625,Colosseum Archeologic Park - Domus Area Virtual Experience,https://colosseo.it/visite-guidate/domus-aurea-experience/,The Domus Area within the Colosseum Archeologic Park can be visited with augmented reality enabling tools.,Local,Italy,ITI4,Ministry of Culture (MiBACT) - Parco Archeologico del Colosseo,Central-Government,"Recreation, culture and religion",Cultural services.,Implemented,2022,2023,Public services and engagement,Service personalisation (various),No,No,AR/VR,G2C,x,x,x,,x,x,,,,,,,,,,,,,https://colosseo.it/visite-guidate/domus-aurea-experience/,,,,,,,21/09/2023
PSTW-1626,"Colosseum Archeological Park - ""Speak with Nerone"" chatbot",https://colosseo.it/visite-guidate/domus-aurea-experience/,Chatbot available on the official website of the Colosseum Archeological park.,Local,Italy,ITI4,Ministry of Culture (MiBACT) - Parco Archeologico del Colosseo,Central-Government,"Recreation, culture and religion",Cultural services.,Implemented,2023,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://colosseo.it/visite-guidate/domus-aurea-experience/,Communication,Natural language processing,AI Services,,,,15/01/2024
PSTW-1627,Virtual tour of the Acropolisin Athens,https://www.acropolisvirtualtour.gr/,Virutal reality tour of the Acropolis.,National,Greece,GR,National and Kapodistrian University of Athens (NKUoA),Academic-Research,"Recreation, culture and religion",Cultural services.,Implemented,2023,,Public services and engagement,Service personalisation (various),No,No,AR/VR,G2C,x,x,x,,x,x,,,,,,,,,,,,,https://www.acropolisvirtualtour.gr/,,,,,,,15/01/2024
PSTW-1634,EKOME Greece - chatbot,https://www.ekome.media/,Chatbot on the official website of the National Centre of Audiovisual Media and Communication answering general enquiries.,National,Greece,EL,National Centre of Audiovisual Media and Communication,Central-Government,"Recreation, culture and religion",Broadcasting and publishing services.,Implemented,2023,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://www.ekome.media/who-we-are/,Communication,Natural language processing,,,,chatbot,21/09/2023
PSTW-1635,ACCUDIRE - export tracking based on blockchain,https://accudire.eu/,"The DLT use case was conducted in July 2021 and presented two months later in Trieste during the conference ""Italy Smart Export"". The ""Pilot 1.0"" was a shipment from Italy to Turkey with a complete digitisation of the logistics documentation and interoperability between public and private subjects involved. It was the first fully digital shipment exploiting blockchain technology in Italy and Europe and it involved the following players: Benetton Group (exporting company), Port of Trieste (customs and place of departure for the Ro-Ro shipment), ADM (the Italian Customs Agency which gave a quality check about the correctness of the process), a global freight forwarder and a Turkish Import Company. The shipment has been done using the ACCUDIRE platform and creating an e-CMR (Electronic Consignment Note for road transportation). The identities of the subjects involved have been verified through two-factor authentication and their signatures have been geolocated and saved on blockchain, interoperating with AIDA (ADM's software) and sending the pre-arrival notification of goods to the PCS (Port Community Systems). Specifically, the e-CMR document needs 3 signatures (sender, carrier and receiver) and ACCUDIRE saves on blockchain these signatures (including geolocation, identity and all other relevant information) in order to guarantee immutability, traceability and security of the shipping related information. Blockchain used is a permissioned Hyper Ledger Fabric supplied by TrustedChain with nodes all in Italy at AgID (Agency for Digital Italy) qualified entities (Trust Service Providers, according to the eIDAS-regulation).

The pilot has been inserted also as a use case of the DTLF and mentioned in the Subgroup 1 (Paperless Transport) of the e-FTI (Electronic Freight Transport Information) discussions, which is regularising and formalising digital processes related to the transport of goods across Europe. Additionally, ACCUDIRE is part of the European Horizon 2020 TRICK project, which aims at supporting SMEs operating in fashion and food industries in the adoption, tracing and demonstration of sustainable approaches by means of Blockchain.

The impact of the use case has been relevant for Italy and Europe. The pilot represents the first shipment with fully digitised documents and processes with blockchain, simplifying all the procedures and especially the interoperability between public and private players involved. ACCUDIRE is now an innovative platform that allows Large and SMEs involved in global supply chains in the complete digitisation of processes and documentation through a paperless and eco-friendly approach, preserving ""Made in"" and protecting products against counterfeiting. Thanks to ACCUDIRE, companies can reduce costs, maximise margins, decrease waste and work in synergy with the many other actors involved along the chain. In addition, ACCUDIRE allows a better connection between trade and trade finance, simplifying the flow of financial information and thus the payment of the goods and the dialogue between banks and firms.",National,Italy,IT,Agenzia delle dogane e dei Monopoli (ADM),Central-Government,Economic affairs,"General economic, commercial and labour affair",Pilot,2021,2021,Public services and engagement,Tracking of goods and assets along the supply chain ,Yes,No,Blockchain,G2B,x,,,,x,x,,,,,,,,,,,,,https://ec.europa.eu/digital-building-blocks/wikis/display/EBSISANDCOLLAB/European+Blockchain+Sandbox+announces+the+selected+projects+for+the+first+cohort#EuropeanBlockchainSandboxannouncestheselectedprojectsforthefirstcohort-ACCUDIR,,,,,,,21/09/2023
PSTW-1636,Giotto OnChain blockchain-based Notarisation Service for digital assets,https://notarizzazione.almaviva.it/,"Blockchain technology at the service of the authenticity of every document on the network. Every document, letterhead or presentation can be certified through the use of Blockchain and Distributed Ledger technology. So can press releases. Almaviva's Giotto OnChain Notarisation Service allows any digital asset to be notarised on public Blockchain, certifying it and guaranteeing its integrity, authorship and authenticity, against fraudulent use. The AlmavivA notarisation service also guarantees ownership by means of an electronic signature; this signature can take on the formal and evidentiary value at the legal level of Advanced Electronic Signature (FEA). The solution is also available in SaaS (Software as a Service) mode. The service has obtained the qualification of AgID, which recognises it and includes it in its Cloud Marketplace, where it is possible to view the service sheet with technical characteristics, cost model and service levels",National,Italy,IT,Agenzia per l'Italia Digitale (AGID),Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2021,,Public services and engagement,Service personalisation (various),No,No,Blockchain,G2C,x,x,x,,,x,,,,,,,,,,,,,https://ec.europa.eu/digital-building-blocks/wikis/display/EBSISANDCOLLAB/European+Blockchain+Sandbox+announces+the+selected+projects+for+the+first+cohort#EuropeanBlockchainSandboxannouncestheselectedprojectsforthefirstcohort-ACCUDIR,,,,,,,21/09/2023
